Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,MACD_Signal,BB_Upper,BB_Middle,BB_Lower,ATR,SMA_50,Signal,Strategy_Returns,Cumulative_Returns
2020-03-04,74.11000061035156,75.8499984741211,73.28250122070312,75.68499755859375,73.6303482055664,219178400,48.81632617872426,-1.6406060727827452,-1.11198050058093,85.86884672243292,77.21874885559082,68.56865098874871,3.108902362951597,,-1,-0.04638456577639127,1.031602476609071
2020-03-05,73.87999725341797,74.88749694824219,72.85250091552734,73.2300033569336,71.24198913574219,187572800,44.46466282364832,-1.6269729081900692,-1.214978982102758,85.55239703274779,76.86212387084962,68.17185070895144,3.089159097245512,,-1,0.03243699915243503,1.0650645652684894
2020-03-06,70.5,72.70500183105469,70.30750274658203,72.25749969482422,70.29589080810547,226176800,42.835662592610326,-1.6753292917892537,-1.307049044040057,85.07011969972025,76.40987396240234,67.74962822508444,3.07725491961023,,-1,0.013280125870939186,1.079208756755932
2020-03-09,65.9375,69.52249908447266,65.75,66.5425033569336,64.73604583740234,286744800,34.77331328776768,-2.150020419377725,-1.4756433191075906,85.22720965526199,75.73662414550782,66.24603863575365,3.3222724035540865,,-1,0.07909208541712087,1.164565627928177
2020-03-10,69.28500366210938,71.61000061035156,67.34249877929688,71.33499908447266,69.3984375,285290000,44.24953245098988,-2.115120413788617,-1.603538738043796,84.70739955223038,75.28399925231933,65.86059895240828,3.446931321401507,,-1,-0.07202157246522778,1.0806917801658344
2020-03-11,69.34750366210938,70.30500030517578,67.96499633789062,68.85749816894531,66.98821258544922,255598800,40.9383939193827,-2.261308568895771,-1.735092704214191,84.30120249104192,74.73174934387207,65.16229619670221,3.441436423200116,,-1,0.03473051023093954,1.118224757093376
2020-03-12,63.98500061035156,67.5,62.0,62.057498931884766,60.37279510498047,418474000,33.52360064866738,-2.8925236316210743,-1.9665788896955678,84.22374869348852,73.74462413787842,63.26549958226832,3.6854408336104867,,-1,0.09875466605505201,1.228654669554624
2020-03-13,66.22250366210938,69.9800033569336,63.23749923706055,69.49250030517578,67.60595703125,370732000,45.20879568118975,-2.7609965925066007,-2.1254624302577745,83.20250861671127,73.15837421417237,63.11423981163346,3.9880882329989396,76.45169975280761,-1,-0.11980826654731591,1.0814516834100194
2020-03-16,60.48749923706055,64.7699966430664,60.0,60.5525016784668,58.908653259277344,322423600,36.82638949187659,-3.3396462774677076,-2.368299199699761,82.86344828627966,72.1241241455078,61.38480000473596,4.381260523868714,76.16099975585938,-1,0.12864695596573805,1.2205771505047414
2020-03-17,61.877498626708984,64.40249633789062,59.599998474121094,63.21500015258789,61.498870849609375,324056000,40.37232042009911,-3.5425526050433263,-2.6031498807684743,82.10675537296865,71.29737415313721,60.487992933305776,4.411348905290201,75.93814979553223,-1,-0.04397008216537346,1.1669082729078706
2020-03-18,59.942501068115234,62.5,59.279998779296875,61.66749954223633,59.99338150024414,300233600,39.00204430021745,-3.7846011712910865,-2.839440138872997,80.97634104705772,70.33549919128419,59.694657335510655,4.377324081575973,75.67249984741211,-1,0.024479958975183402,1.1954741395564574
2020-03-19,61.84749984741211,63.209999084472656,60.65250015258789,61.19499969482422,59.53371047973633,271857200,38.5715700072141,-3.96880329881391,-3.0653127708611794,79.75495219597799,69.39149932861328,59.028046461248564,4.2473365708837445,75.4044497680664,-1,0.007662056203340817,1.2046339296033797
2020-03-20,61.79499816894531,62.95750045776367,57.0,57.310001373291016,55.754188537597656,401693200,35.13753305846595,-4.377807073390684,-3.3278116313670805,79.13575499033136,68.34387454986572,57.55199410940007,4.369491134232311,75.0346997833252,-1,0.06348555177559367,1.281110779311852
2020-03-23,57.02000045776367,57.125,53.15250015258789,56.092498779296875,54.569725036621094,336752800,34.11255254752233,-4.745484800874692,-3.6113462652686033,79.0568927053064,67.4212495803833,55.78560645546021,4.3543489975516545,74.60839973449707,-1,0.02124415572883842,1.3083268962134467
2020-03-24,59.09000015258789,61.92250061035156,58.57500076293945,61.720001220703125,60.04446029663086,287531200,42.46656511127042,-4.530554223938026,-3.795187857002488,78.5937834899014,66.90624980926513,55.21871612862888,4.4597527713733,74.2911498260498,-1,-0.10032540114763622,1.1770684755185907
2020-03-25,62.6875,64.5625,61.07500076293945,61.380001068115234,59.71369171142578,303602000,42.11909331597693,-4.337653593508186,-3.903681004303628,77.87090902225509,66.31712493896484,54.763340855674585,4.39030609035096,73.93394989013672,-1,0.0055087515531973,1.1835526533113234
2020-03-26,61.630001068115234,64.66999816894531,61.59000015258789,64.61000061035156,62.85599899291992,252087200,46.590070564116154,-3.879424890018555,-3.8988297814466133,77.66463672928856,66.12862510681153,54.5926134843345,4.311712591099469,73.66274993896485,-1,-0.052622995862315225,1.1212705669332894
2020-03-27,63.1875,63.967498779296875,61.76250076293945,61.935001373291016,60.253631591796875,204216800,43.587229899210556,-3.689594079813361,-3.856982641119963,77.43629813129981,65.80837535858154,54.18045258586328,4.207125966550372,73.34474998474121,-1,0.04140224751262378,1.1676936884740816
2020-03-30,62.685001373291016,63.880001068115234,62.349998474121094,63.70249938964844,61.97312927246094,167976400,46.06101323846372,-3.357822588121927,-3.757150630520356,76.17004078012035,65.25837535858155,54.34670993704274,4.0455455185699325,73.0426000213623,-1,-0.028537950709074167,1.1343701035491112
2020-03-31,63.900001525878906,65.62249755859375,63.0,63.5724983215332,61.84666061401367,197002000,45.901577925558655,-3.0699923298301854,-3.619718970382322,75.25430867655528,64.82050018310547,54.38669168965565,3.9438992357144906,72.72039993286133,-1,0.002040753021636643,1.1366850727655833
2020-04-01,61.625,62.18000030517578,59.782501220703125,60.227500915527344,58.592472076416016,176218400,41.88426655366886,-3.0763360250399145,-3.5110423813138403,73.37965007569852,64.04762535095215,54.71560062620577,3.93290622607989,72.34209991455079,-1,0.05261705130869221,1.1964940895611145
2020-04-02,60.084999084472656,61.287498474121094,59.224998474121094,61.23249816894531,59.570186614990234,165934000,43.484664415874725,-2.966077475144786,-3.4020494000800294,71.83637686815615,63.447750091552734,55.05912331494932,3.799305781359898,71.97824981689453,-1,-0.016686683626928822,1.1765285712271178
2020-04-03,60.70000076293945,61.42499923706055,59.74250030517578,60.352500915527344,58.714080810546875,129880000,42.38404352589841,-2.916090329771464,-3.3048575860183163,70.29195881002164,62.85250015258789,55.41304149515415,3.648105292111674,71.58914978027343,-1,0.014371408643005013,1.1934369441043935
2020-04-06,62.724998474121094,65.77749633789062,62.345001220703125,65.61750030517578,63.83616638183594,201820400,50.46264420429563,-2.4236948619455276,-3.128625041203759,70.16442975102228,62.80625,55.44807024897772,3.775026015701074,71.30994979858399,-1,-0.08723746836966395,1.089324526441898
2020-04-07,67.69999694824219,67.92500305175781,64.75,64.85749816894531,63.0967903137207,202887200,49.386179080335424,-2.0709214337818196,-2.9170843197193714,68.80826150775819,62.48237495422363,56.15648840068907,3.7321672325622695,71.06234970092774,-1,0.011582308571582711,1.1019414192417414
2020-04-08,65.68499755859375,66.84249877929688,65.30750274658203,66.51750183105469,64.71173858642578,168895200,51.804507604995514,-1.638509806946459,-2.661369417164789,68.28906448109318,62.3653751373291,56.44168579356503,3.607369616690076,70.80424972534179,-1,-0.02559462990362782,1.0737376364407707
2020-04-09,67.17500305175781,67.51750183105469,66.17500305175781,66.99749755859375,65.17868041992188,161834800,52.51107168030092,-1.2427630349276484,-2.3776481407173606,68.8668465611766,62.61237506866455,56.35790357615249,3.4455931283048473,70.52249969482422,-1,-0.0072160816976889475,1.0659894579343308
